Word,Count,Senses,Definition,Example
aloft,5,,at or to great height,high up in or into the air
aloft,5,,upward,the good news sent her spirits aloft
aloft,5,,at or on or to the masthead or upper rigging of a ship,climbed aloft to unfurl the sail
alone,5,solo unaccompanied,without anybody else or anything else,the child stayed home alone
along,5,on,with a forward motion,we drove along admiring the view
along,5,,in accompaniment or as a companion,his little sister came along to the movies
along,5,,in addition (usually followed by `with'),we sent them food and some clothing went along in the package
along,5,,to a more advanced state,the work is moving along
along,5,,in line with a length or direction (often followed by `by' or `beside'),pass the word along
aloof,5,,in an aloof manner,the local gentry and professional classes had held aloof for the school had accepted their sons readily enough
aloud,5,out loud,using the voice,not silently
alphabetically,14,,in alphabetical order,the list was arranged alphabetically
already,7,,prior to a specified or implied time,she has already graduated
alternately,11,,in an alternating sequence or position,They were deglycerolized by alternately centrifuging and mixing
alternatively,13,instead or else,"in place of, or as an alternative to",Felix became a herpetologist instead
altogether,10,all told in all,with everything included or counted,altogether he earns close to a million dollars
altruistically,14,selflessly,in an altruistic manner,he acted selflessly when he helped the old lady in distress
always,6,ever,at all times,all the time and on every occasion
always,6,,forever,throughout all time
always,6,,at any time or in any event,you can always resign if you don't like it
amain,5,,with all your strength,he pulled the ropes amain
amain,5,,at full speed,with great haste
amateurishly,12,,in an amateurish manner,he performed the piece amateurishly
amazingly,9,surprisingly astonishingly,in an amazing manner,to everyone's surprise
ambiguously,11,equivocally,in an ambiguous manner,this letter is worded ambiguously
ambitiously,11,determinedly,with ambition,in an ambitious and energetic manner
amicably,8,,in an amicable manner,they separated amicably
amidships,9,amidship midships,at or near or toward the center of a ship,"in the late th century, engines were placed in front, amidships, and at the rear"
amiss,5,,in an improper or mistaken or unfortunate manner,if you think him guilty you judge amiss
amok,4,amuck murderously,in a murderous frenzy,rioters running amuck and throwing sticks and bottles and stones
amok,4,amuck,wildly,without self-control
amorously,9,,in an amorous manner,he looked at her amorously
amply,5,fully,sufficiently,more than adequately
amply,5,richly,to an ample degree or in an ample manner,these voices were amply represented
amusingly,9,divertingly,in an entertaining and amusing manner,Hollywood has grown too sophisticated to turn out anything really amusingly bad these days
anachronistically,17,,in an anachronistic manner,let's look at this phenomenon anachronistically
analogously,11,,in an analogous manner,"analogously, we have a variable"
analytically,12,,by virtue of analysis,assuming that the distinction is maintained one may ask which is to be analytically prior?
anatomically,12,,with respect to anatomy,anatomically correct
anciently,9,,in ancient times,long ago
and then some,13,,and considerably more in addition,it cost me a week's salary and then some
andante,7,,at a moderately slow tempo,
angelically,11,,like an angel,the child was sleeping angelically
angrily,7,,with anger,he angrily denied the accusation
animatedly,10,,in an animated manner,they talked animatedly
anisotropically,15,,in an anisotropic manner,
annoyingly,10,,in an annoying manner or to an annoying degree,
annually,8,yearly every yea each yea,without missing a year,they travel to China annually
anomalously,11,,in an anomalous manner,this man behaves anomalously
anon,4,,(old-fashioned or informal) in a little while,
anon,4,,at another time,ever and anon
anonymously,11,,without giving a name,she wrote these letters anonymously
antagonistically,16,,in an antagonistic manner,he behaves antagonistically toward his colleagues
ante meridiem,13,A.M.,before noon,
antithetically,14,,with antithesis,in an antithetical manner
anxiously,9,uneasily apprehensively,with anxiety or apprehension,we watched anxiously
any,3,,to any degree or extent,it isn't any better
anyhow,6,anyway anyways  in any case  at any rate  in any event,used to indicate that a statement explains or supports a previous statement,"Anyhow, he is dead now"
anyhow,6,anyway,in any way whatsoever,they came anyhow they could
anymore,7,any longer,at the present or from now on,usually used with a negative
anywhere,8,anyplace,at or in or to any place,
apace,5,,,
apart,5,aside,not taken into account or excluded from consideration,"these problems apart, the country is doing well"
apart,5,asunder,into parts or pieces,he took his father's watch apart
apart,5,,separated or at a distance in place or position or time,These towns are many miles apart
apart,5,,one from the other,people can't tell the twins apart
apart,5,,away from another or others,they grew apart over the years
apathetically,13,,in an apathetic manner,she behaves apathetically these days
apologetically,14,,in an apologetic manner,he spoke apologetically about his past
appallingly,11,,to an appalling extent,the prisoners were appallingly thin
apparently,10,seemingly ostensibly  on the face of it,from appearances alone,irrigation often produces bumper crops from apparently desert land
appealingly,11,,in an appealing manner,the table was set appealingly
appositively,12,in apposition,in an appositive manner,this adjective is used appositively
appreciably,11,,to a noticeable degree,they weather was appreciably colder
appreciatively,14,gratefully,with appreciation,in a grateful manner
appropriately,13,suitably fittingly  befittingly  fitly  properly  duly,in accordance with what is appropriate or suitable for the circumstances,he was appropriately dressed
approvingly,11,,in an approving manner,she nodded approvingly
approximately,13,about close to  just about  some  roughly  more or less  around  or so,(of quantities) imprecise but fairly close to correct,lasted approximately an hour
architecturally,15,,with regard to architecture,"this building is ugly, but architecturally interesting"
archly,6,,in an arch manner,with playful slyness or roguishness
ardently,8,,in an ardent manner,the spirit of God knew very well that there was a deeper question to be settled before there could be the intervention in power that was so ardently desired
arduously,9,,in an arduous manner,they worked arduously
arguably,8,,as can be shown by argument,she is arguably the best
aristocratically,16,,in an aristocratic manner,they behaved aristocratically
arithmetically,14,,with respect to arithmetic,this problem is arithmetically easy
around,6,,in circumference,the trunk is ten feet around
around,6,,by a circular or circuitous route,He came all the way around the base
around,6,,in a circle or circular motion,The wheels are spinning around
around,6,,to a particular destination either specified or understood,she came around to see me
around the clock,16,for hours  round the clock,without stopping,she worked around the clock
arrogantly,10,,in an arrogant manner,in the old days she had been harsh and stiff; afraid of her husband and yet arrogantly proud that she had a husband strong and fierce enough to make her afraid
artfully,8,,in an artful manner,her foot pointed artfully toward tapering toes
articulately,12,eloquently,in an articulate manner,he argued articulately for his plan
artificially,12,unnaturally by artificial means,not according to nature,not by natural means
artistically,12,,in an artistic manner,it was artistically decorated
artlessly,9,ingenuously,in an ingenuous manner,she answered the judge's questions artlessly
artlessly,9,crudely inexpertly,in a crude and unskilled manner,an inexpertly constructed lean-to
as far as possible,18,as much as possible,to a feasible extent,she helped him as much as possible
as follows,10,,what is listed next,her complaints went as follows
as it is,8,,in the actual state of affairs and often contrary to expectations,he might have been killed; as it is he was severely injured
as it were,10,so to speak,as if it were really so,"she lives here, as it were"
as needed,9,as required pro re nata  PRN,according to need (physicians use PRN in writing prescriptions),add water as needed
as the crow flies,17,,by the shortest and most direct route,it's  miles as the crow flies
as usual,8,,in the usual manner,"as usual, she arrived late"
as we say,9,so to speak,in a manner of speaking,"the feeling is, as we say, quite dead"
ascetically,11,,in an ascetic manner,she lived ascetically in a small house all by herself
asexually,9,,in an asexual manner,plants that reproduce asexually
ashore,6,,towards the shore from the water,we invited them ashore
aside,5,by away,in reserve,not for immediate use
aside,5,,on or to one side,step aside
aside,5,away,out of the way (especially away from one's thoughts),brush the objections aside
aside,5,apart,placed or kept separate and distinct as for a purpose,had a feeling of being set apart
askance,7,,with a side or oblique glance,did not quite turn all the way back but looked askance at me with her dark eyes
askance,7,,with suspicion or disapproval,he looked askance at the offer
askew,5,awry skew-whiff,turned or twisted to one side,rugs lying askew
asleep,6,,into a sleeping state,he fell asleep
assertively,11,,in an assertive manner,"`I will take care of my own life,' she said assertively"
assiduously,11,,with care and persistence,she worked assiduously on the senior thesis
assuredly,9,,without a doubt,the grammar schools were assuredly not intended for the gentry alone
astern,6,,,
astern,6,,stern foremost or backward,the steamer went astern at half speed
astray,6,,away from the right path or direction,he was led astray
astride,7,astraddle,with one leg on each side,she sat astride the chair
astronomically,14,,enormously,the bill was astronomically high
astutely,8,shrewdly sagaciously  sapiently  acutely,in a shrewd manner,he invested his fortune astutely
asymmetrically,14,unsymmetrically,in an asymmetrical manner,they were asymmetrically arranged
asymptotically,14,,toward an asymptote,it grew asymptotically
at,2,time at once at one time,simultaneously,he took three cookies at a time
at,2,loss,below cost,sold the car at a loss
at all,6,in the least the least bit,in the slightest degree or in any respect,"Are you at all interested? No, not at all"
at all costs,12,at any cost at any expense,regardless of the cost involved,he wanted to save her life at all cost
at arm's length,15,,at some distance,keep someone at arm's length
at best,7,at the best,under the best of conditions,at best we'll lose only the money
at first blush,14,when first seen,as a first impression,at first blush the offer seemed attractive
at first sight,14,at first glance,on first seeing (someone or something),immediately
at heart,8,at bottom deep down  inside  in spite of appearance,in reality,she is very kind at heart
at home,7,,"at, to, or toward the place where you reside",he worked at home
at home,7,,on the home team's field,
at large,8,in a broad way,in a general fashion,he talked at large about his plans
at least,8,at the least,not less than,at least two hours studying the manual
at least,8,leastways leastwise  at any rate,if nothing else (`leastwise' is informal and `leastways' is colloquial),
at leisure,10,leisurely,in an unhurried way or at one's convenience,read the manual at your leisure
at most,7,at the most,not more than,spend at most $ on the lunch
at stake,8,,to be won or lost,at risk
at stake,8,,in question or at issue,there is more at stake than your modesty
at will,7,,as one chooses or pleases,he can roam the neighborhood at will
at worst,8,at the worst,under the worst of conditions,at worst we'll go to jail
atonally,8,,without tonality,he composes atonally
attentively,11,,with attention,in an attentive manner
attributively,13,,in an attributive manner,
atypically,10,untypically,in a manner that is not typical,she was atypically quiet
audaciously,11,,in an audacious manner,an idea so daring and yet so audaciously tempting that a shiver of excitement quivered through him
audibly,7,,in an audible manner,he spoke audibly
aurally,7,,with regard to sound or the ear,the new musical was visually and aurally appealing
auspiciously,12,propitiously,in an auspicious manner,he started his new job auspiciously on his birthday
austerely,9,,in an austere fashion,the church was austerely simple
authentically,13,genuinely,genuinely,with authority
authoritatively,15,magisterially,in an authoritative and magisterial manner,she spoke authoritatively
autocratically,14,,in an autocratic manner,the Czars ruled Russia autocratically
automatically,13,,in a reflex manner,he answered automatically
avidly,6,,in an avid manner,"whatever the flavor or color of your local paper, do remember that these are read avidly for local information"
avowedly,8,professedly,by open declaration,their policy has been avowedly Marxist
away,4,off forth,from a particular thing or place or position (`forth' is obsolete),
away,4,out,from one's possession,he gave out money to the poor
away,4,,out of existence,the music faded away
away,4,,indicating continuing action,continuously or steadily
away,4,aside,in a different direction,turn aside
away,4,,in or into a proper place (especially for storage or safekeeping),put the toys away
away,4,,so as to be removed or gotten rid of,cleared the mess away
away,4,,freely or at will,fire away
awhile,6,for a while,for a short time,sit down and stay awhile
awkwardly,9,,in an awkward manner,he bent awkwardly
awry,4,amiss,away from the correct or expected course,something has gone awry in our plans
axially,7,,with respect to an axis,the jet was directed axially toward the cathode
axiomatically,13,,on the basis of axioms,this is axiomatically given
baby-wise,9,baby-like,like a baby,"he cradled it, baby-wise, in his arms"
back,4,backward,in or to or toward a past time,set the clocks back an hour
back,4,backward backwards  rearward  rearwards,at or to or toward the back or rear,he moved back
back,4,,in repayment or retaliation,we paid back everything we had borrowed
back,4,,in or to or toward a former location,she went back to her parents' house
back,4,,in or to or toward an original condition,he went back to sleep
back,4,,in reply,he wrote back three days later
back and forth,14,backward and forward to and fro,moving from one place to another and back again,he traveled back and forth between Los Angeles and New York
backstage,9,,in or to a backstage area of a theater,costumes were changed backstage
backstage,9,,out of view of the public,behind the scenes
backward,8,backwards,in a manner or order or direction the reverse of normal,it's easy to get the `i' and the `e' backward in words like `seize' and `siege'
bacterially,11,,by bacteria,spreads bacterially
badly,5,,with unusual distress or resentment or regret or emotional display,they took their defeat badly
badly,5,disadvantageously,in a disadvantageous way,to someone's disadvantage
badly,5,,without skill or in a displeasing manner,she writes badly
badly,5,severely gravely  seriously,to a severe or serious degree,fingers so badly frozen they had to be amputated
badly,5,bad,very much,strongly
badly,5,bad,with great intensity (`bad' is a nonstandard variant for `badly'),the injury hurt badly
badly,5,mischievously naughtily,in a disobedient or naughty way,he behaved badly in school
badly,5,,evilly or wickedly,treated his parents badly
baldly,6,,in a bald manner,"this book is, to put it baldly, an uneven work."
balefully,9,,in a baleful manner,she looked at him balefully
banefully,9,perniciously,in a noxiously baneful way,this banefully poisoned climate
bang,4,slap slapdash  smack  bolt,directly,
bannerlike,10,,like a banner,She waved her scarf at him bannerlike
banteringly,11,tongue-in-cheek,in a bantering fashion,he spoke to her banteringly
barbarously,11,,in a barbarous manner,they were barbarously murdered
bareback,8,barebacked,without a saddle,she prefers to ride her horse bareback
barefooted,10,barefoot,without shoes on,he chased her barefoot across the meadow
barely,6,hardly just  scarcely  scarce,only a very short time before,we hardly knew them
barely,6,just,by a little,I only just caught the bus
basically,9,fundamentally essentially,in essence,at bottom or by one's (or its) very nature
BC,2,B.C. before Christ,before the Christian era,used following dates before the supposed year Christ was born
BCE,3,B.C.E.,of the period before the Common Era,preferred by some writers who are not Christians
beastly,7,,in a beastly manner,she behaved beastly toward her mother-in-law
beautifully,11,attractively,in a beautiful manner,her face was beautifully made up
becomingly,10,,in a becoming manner,she was becomingly dressed
behind,6,,in or to or toward the rear,he followed behind
behind,6,,remaining in a place or condition that has been left or departed from,when he died he left much unfinished work behind
behind,6,behindhand in arrears,in debt,he fell behind with his mortgage payments
behind,6,,in or into an inferior position,fell behind in his studies
behind,6,slow,of timepieces,the clock is almost an hour slow
believably,10,,in a believable manner,he acted believably sincere
belligerently,13,hostilely,with hostility,in a belligerent hostile manner
below,5,infra,(in writing) at a later place,see below
beneficially,12,,in a beneficial manner,this medicine will act beneficially on you
benevolently,12,,in a benevolent manner,she looked on benevolently
benignly,8,benignantly,in a benign manner,this drug is benignly soporific
beseechingly,12,importunately imploringly  pleadingly  entreatingly,in a beseeching manner,"`You must help me,' she said imploringly"
besides,7,in any case,making an additional point,anyway
besides,7,too also  likewise  as well,in addition,"he has a Mercedes, too"
best,4,,it would be sensible,you'd best stay at home
best,4,,in a most excellent way or manner,he played best after a couple of martinis
best of all,11,,especially fortunate,"best of all, we don't have any homework"
bestially,9,brutishly in a beastly manne,in an inhumane manner,she treated her husband bestially
better,6,,comparative of `well',in a better or more excellent manner or more advantageously or attractively or to a greater degree etc.
better,6,best,from a position of superiority or authority,father knows best
between,7,'tween,in between,two houses with a tree between
between,7,betwixt,in the interval,dancing all the dances with little rest between
bewilderingly,13,confusingly,in a bewildering and confusing manner,her situation was bewilderingly unclear
bewitchingly,12,captivatingly enchantingly  enthrallingly,in a bewitching manner,she was bewitchingly beautiful
beyond,6,,in addition,agreed to provide essentials but nothing beyond
beyond,6,,farther along in space or time or degree,through the valley and beyond
beyond,6,,on the farther side from the observer,a pond with a hayfield beyond
beyond measure,14,,in excess or without limit,amazed beyond measure
biannually,10,,twice a year,we hold our big sale biannually
biennially,10,biyearly,every two years,this festival takes places biennially
big,3,,in a major way,the play failed big at the box office
big,3,,on a grand scale,think big
big,3,,extremely well,his performance went over big
bilaterally,11,,with the involvement of two parties or governments,they worked out an agreement bilaterally
bilingually,11,,in a bilingual manner,she grew up bilingually
bimonthly,9,,every two months,the bill was payable bimonthly
binaurally,10,to both ears in both ears,in a binaural manner,the stimulus was presented binaurally
biochemically,13,,with respect to biochemistry,biochemically interesting phenomenon
biologically,12,,with respect to biology,biologically related
biradially,10,,in a biradial manner,biradially symmetrical
bitterly,8,,with bitterness,in a resentful manner
bitterly,8,,indicating something hard to accept,he was bitterly disappointed
blandly,7,,in a bland manner,his blandly incompetent attempts
blankly,7,,in a blank and uncomprehending manner,she stared at him blankly
blasphemously,13,,in a blasphemous manner,the sailors were cursing blasphemously
blatantly,9,,in a blatant manner,they blatantly violated the laws
bleakly,7,,without hope,he wondered bleakly
blessedly,9,,in a blessed manner,
blindly,7,,without preparation or reflection,without a rational basis
blindly,7,,without seeing or looking,he felt around his desk blindly
blissfully,10,,in a blissful manner,he was blissfully unaware of the danger
bloodlessly,11,,without bloodshed,in a bloodless manner
bloody,6,damn all-fired  all-firedly,extremely,
bluffly,7,bluntly brusquely  flat out  roundly,in a blunt direct manner,he spoke bluntly
boastfully,10,vauntingly big  large,in a boastful manner,he talked big all evening
bodily,6,,in bodily form,he was translated bodily to heaven
boiling,7,,extremely,
boldly,6,,"with boldness, in a bold manner",we must tackle these tasks boldly
bombastically,13,grandiosely,in a grandiose manner,the building was bombastically spacious
boorishly,9,,like a boor,he behaved boorishly at the party
boringly,8,tediously tiresomely,in a tedious manner,boringly slow work
boundlessly,11,immeasurably infinitely,without bounds,he is infinitely wealthy
boyishly,8,boylike,like a boy,he smiled boyishly at his fiancee
bravely,7,courageously,in a courageous manner,bravely he went into the burning house
brazenly,8,,in a brazen manner,he spoke brazenly
breadthwise,11,breadthways broadwise,in the direction of the breadth,cut the cloth breadthwise
breast-deep,11,breast-high,up to the breast,we were standing breast-high in the water
breathlessly,12,,in a breathless manner,she spoke breathlessly
breezily,8,,in a breezy manner,he swings breezily into the title song
briefly,7,,for a short time,she visited him briefly
brilliantly,11,,in an extremely intelligent way,he solved the problem brilliantly
brilliantly,11,brightly bright,with brightness,the stars shone brilliantly
briskly,7,,in a brisk manner,she walked briskly in the cold air
broadly,7,loosely broadly speaking  generally,without regard to specific details or exceptions,he interprets the law broadly
broadly,7,,in a wide fashion,he smiled broadly
broad-mindedly,14,,in a broad-minded manner,the authorities broad-mindedly permitted the opening of a center for teenagers
broadside,9,,with a side facing an object,the train hit the truck broadside
brotherly,9,,(archaic as adverb) in a brotherly manner,
bumptiously,11,,in a bumptious manner,he behaved rather bumptiously and offended the hostess
buoyantly,9,chirpily,in a cheerfully buoyant manner,we accepted the opportunity buoyantly
bureaucratically,16,,with respect to bureaucracy,it's bureaucratically complicated
bureaucratically,16,,in a bureaucratic manner,his bureaucratically petty behavior annoyed her
busily,6,,in a busy manner,they were busily engaged in buying souvenirs
by,2,long shot,by a great deal,he is the best by a long shot
by,2,past,so as to pass a given point,every hour a train goes past
by all means,12,,definitely or certainly,
by and by,9,later,at some eventual time in the future,By and by he'll understand
by and large,12,generally more often than not  mostly,usually,as a rule
by chance,9,accidentally circumstantially  unexpectedly,without advance planning,they met accidentally
by far,6,far and away out and away,by a considerable margin,she was by far the smartest student
by fits and starts,18,,intermittently,he worked on his book by fits and starts
by hand,7,,without the use of a machine,this dress is sewn by hand
by heart,8,by memory,by committing to memory,she knew the poem by heart
by hook or by crook,19,,in any way necessary,by any possible means
by inches,9,little by little by small degrees,by a short distance,they moved it by inches
by machine,10,,with the use of a machine,the shirt is sewn by machine
by no means,11,not by a long sight not by a blame sight,definitely not,
by the piece,12,one by one,one piece at a time,she sold the plates by the piece
by the way,10,by the bye incidentally  apropos,introducing a different topic,"incidentally, I won't go to the party"
by word of mouth,16,viva voce,orally,I heard it viva voce
C.O.D.,6,COD cash on delivery,collecting the charges upon delivery,mail a package C.O.D.
cagily,6,circumspectly,in a cagey manner,"`I don't know yet,' he answered cagily"
calculatingly,13,,in a calculating manner,he looked at her calculatingly
callously,9,unfeelingly,in a callous way,he callously exploited their feelings
calmly,6,,with self-possession (especially in times of stress),he spoke calmly to the rioting students
canonically,11,,in a canonical manner,the deacon was canonically inducted
cantankerously,14,,in a bad mood,he answered her cantankerously
cap-a-pie,9,from head to toe,at all points from head to foot,he was armed cap-a-pie
capriciously,12,,in a capricious manner,"there were Turk's head lilies and patches of iris, islands of brilliant blue set capriciously in the green sea"
capriciously,12,freakishly,unpredictably,the weather has been freakishly variable
captiously,10,,"in a captious, carping manner",he was captiously pedantic
carefully,9,,taking care or paying attention,they watched carefully
carelessly,10,heedlessly,without care or concern,carelessly raised the children's hopes without thinking of their possible disappointment
casually,8,nonchalantly,in an unconcerned manner,glanced casually at the headlines
casually,8,,not methodically or according to plan,he dealt with his course work casually
catalytically,13,,by catalytic action,in a catalytic manner
catastrophically,16,,with unfortunate consequences,catastrophically complex
causally,8,,in a causal fashion,causally efficacious powers
caustically,11,vitriolically,in a caustic vitriolic manner,he addressed her caustically
cautiously,10,carefully,as if with kid gloves,with caution or prudence or tact
CE,2,C.E. Common Era,of the period coinciding with the Christian era,preferred by some writers who are not Christians
centennially,12,,every hundred years,once in a century
centrally,9,,in or near or toward a center or according to a central role or function,The theater is centrally located
cerebrally,10,,in the brain,bleeding cerebrally
cerebrally,10,,in an intellectual manner,cerebrally active
ceremonially,12,ritually,in a ceremonial manner,he was ceremonially sworn in as President
ceremoniously,13,ceremonially,in a ceremonious manner,my mother advised her children ceremoniously
chaotically,11,,in a manner suggestive of chaos,the room was chaotically disorganized
chaotically,11,,in a wild and confused manner,the drugged man was talking chaotically
characteristically,18,,in characteristic manner,he arrived characteristically late
charily,7,,with great caution,warily
charitably,10,,in a charitable manner,she treated him charitably
chastely,8,virtuously,in a chaste and virtuous manner,she lived chastely
chattily,8,volubly,in a chatty manner,"`when I was a girl,' she said chattily, `I used to ride a bicycle'"
